表別,地價區段,修正細項,填寫值,資料來源,計算/查表依據,基準表項目ID,狀態
表3,P001-00,都市計畫（內、外）,1／2級（優）,表3 實測：都市計畫內,基準表級距：都市計畫內,shulin.regional.urban_plan,確認
表3,P001-00,使用分區（使用地類別）,2／5級（稍優）,表3 實測：第一種住宅區,基準表級距：住宅區、市場用地,shulin.regional.zoning,確認
表3,P001-00,建蔽率,4／5級（稍劣）,表3 實測：50%,基準表級距：50%以上未滿60%,shulin.regional.bcr,確認
表3,P001-00,容積率,3／5級（普通）,表3 實測：260%,基準表級距：260%以上未滿360%,shulin.regional.far,確認
表3,P001-00,有無禁止建築,1／2級（優）,表3 實測：無,基準表級距：無禁止建築,shulin.regional.build_ban,確認
表3,P001-00,有無限制建築（整體開發、面積限制、高度限制……等）,1／3級（優）,表3 實測：無,基準表級距：無限制建築,shulin.regional.build_restrict,確認
表3,P001-00,主要道路寬度,1／5級（優）,表3 實測：名稱：八德街 寬度：28M,基準表級距：28m以上,shulin.regional.main_road_width,確認
表3,P001-00,區段內道路平均寬度,3／5級（普通）,表3 實測：12M,基準表級距：10m以上未滿15m,shulin.regional.avg_road_width,確認
表3,P001-00,區段內道路規劃及闢建程度,2／5級（稍優）,表3 實測：大部分規劃及闢建,基準表級距：大部分規劃及闢建,shulin.regional.road_dev,確認
表3,P001-00,日照,1／5級（優）,表3 實測：充分,基準表級距：充分,shulin.regional.sunlight,確認
表3,P001-00,景觀,3／5級（普通）,表3 實測：視野、景觀尚可,基準表級距：視野、景觀尚可,shulin.regional.view,確認
表3,P001-00,傾斜度,1／5級（優）,表3 實測：平均坡度未滿5度,基準表級距：平均坡度未滿5度,shulin.regional.slope,確認
表3,P001-00,排水之良否,3／5級（普通）,表3 實測：普通完善,基準表級距：普通完善,shulin.regional.drainage,確認
表3,P001-00,地勢,1／5級（優）,表3 實測：極平坦堅硬,基準表級距：極平坦堅硬,shulin.regional.terrain,確認
表3,P001-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,1／5級（優）,表3 實測：勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,基準表級距：四項以上,shulin.regional.land_improve,確認
表3,P002-00,都市計畫（內、外）,1／2級（優）,表3 實測：都市計畫內,基準表級距：都市計畫內,shulin.regional.urban_plan,確認
表3,P002-00,使用分區（使用地類別）,2／5級（稍優）,表3 實測：第一種住宅區,基準表級距：住宅區、市場用地,shulin.regional.zoning,確認
表3,P002-00,建蔽率,4／5級（稍劣）,表3 實測：50%,基準表級距：50%以上未滿60%,shulin.regional.bcr,確認
表3,P002-00,容積率,4／5級（稍劣）,表3 實測：200%,基準表級距：180%以上未滿260%,shulin.regional.far,確認
表3,P002-00,有無禁止建築,1／2級（優）,表3 實測：無,基準表級距：無禁止建築,shulin.regional.build_ban,確認
